elementID numTraitLossSpecies numTraitPreservingSpecies numTraitLossBranches numTraitPreservingBranches PerfectMatchMargin GLS_Pvalue weightedPearsonCorrelationCoeff weightedPearsonCorrelation_Pvalue 
chr1.17016 2 28 2 56 0.390123456790123 2.15723147164427e-15 0.930510615194233 2.34622788523447e-26
chr1.14880 2 28 2 56 -0.0905405405405411 8.76732265251092e-06 0.348155008749709 0.00370740166717006
chr1.14881 2 28 2 56 -0.0210526315789471 8.07884431682544e-09 0.70467198919304 3.3975869024361e-10
chr1.14882 2 28 2 56 -0.200168918918919 0.000112485221946375 0.654806881828359 1.24599540730018e-08
chr1.14883 2 28 2 56 -0.066350710900474 0.00111029002927807 0.435356614224179 0.00031883350003821
chr1.14885 2 28 2 56 -0.0840336134453781 7.75341476610698e-06 0.728617718391494 4.56826915097207e-11
chr1.14888 2 28 2 56 -0.031578947368421 0.00189479339432499 0.334611473888409 0.00513033475918312
chr1.14889 2 28 2 56 -0.032258064516129 9.32337490892892e-07 0.653812675191867 1.3286902988386e-08
chr1.14890 2 28 2 56 -0.08 0.194138588852547 0.137783818311215 0.15118107038799
chr1.14893 2 28 2 56 -0.0344827586206891 2.2710210711507e-06 0.692998466199306 8.42649283306325e-10
chr1.14894 2 28 2 56 -0.101123595505618 8.46053412348703e-06 0.693907421075197 7.86926314908646e-10
chr1.14897 2 28 2 56 -0.0564516129032251 1.21027108287801e-06 0.731977941989331 3.3883361809762e-11
chr1.14898 2 28 2 56 0.00837622746870803 8.24409710239624e-07 0.739436570528952 1.72366811148292e-11
chr1.14899 2 28 2 56 -0.0140845070422539 3.21116015324255e-06 0.731313884454873 3.59963110211406e-11
chr1.14900 2 28 2 56 0.905882352941176 4.2273798418777e-35 0.994861610620608 1.43417744419551e-57
chr1.14901 2 28 2 56 0.872093023255814 2.04003768144366e-39 0.996695385113357 6.51040993666678e-63
chr1.14902 2 28 2 56 0.048780487804878 2.25040976275455e-07 0.775839833810981 4.37519829126766e-13
chr1.14903 2 28 2 56 -0.090806042513075 0.0112037634538178 0.297502974097546 0.0116665929392356
chr1.14904 2 28 2 56 0.0185185185185189 4.78049480067753e-12 0.763268623667189 1.67176073391901e-12
chr1.14905 2 28 2 56 -0.09375 0.00781574709550345 0.489078263243843 4.91146922149197e-05
chr1.14906 2 28 2 56 -0.10869939707149 0.0174849195715671 0.315501716597074 0.00792889560880567
chr1.14907 2 28 2 56 0 1.09694941017676e-08 0.757415684395018 3.03872077330343e-12
chr1.14908 2 28 2 56 0 7.92480757065032e-13 0.540445385525349 5.98118511823366e-06
chr1.14909 2 28 2 56 -0.036874771814531 5.73974716207774e-07 0.670562993629003 4.29842153331365e-09
chr1.14910 2 28 2 56 0.028421052631579 3.6648974496372e-07 0.788691855430279 1.01191392182611e-13
chr1.14912 2 28 2 56 -0.0201005025125629 3.5124566121367e-06 0.723128712562514 7.36137366380445e-11
chr1.3969 2 28 2 56 0.00911250745865 2.84629420963755e-20 0.91781467399069 2.13686556739997e-24
chr1.3970 2 28 2 56 -0.123333333333333 1.10084383391957e-05 0.656813108456085 1.09153448232557e-08
chr1.3971 2 28 2 56 -0.110851377952756 0.0773600316679077 0.189620132537839 0.077023407308243
chr1.3972 2 28 2 56 0 2.09462636854761e-07 0.785557527003899 1.45974474091842e-13
chr1.3973 2 28 2 56 -0.033333333333333 8.39916403700984e-06 0.342736188792724 0.00422848157253254
chr1.3974 2 28 2 56 -0.088888888888889 7.11224454891094e-07 0.783637146612082 1.81954848430304e-13
chr1.3975 2 28 2 56 -0.00555555555555509 1.03300894627349e-06 0.724112154097834 6.77267335934166e-11
chr1.3976 2 28 2 56 0.034334763948498 1.23563853752631e-18 0.667557113280624 5.29534003777218e-09
chr1.3977 2 28 2 56 -0.023076923076923 1.06712976547465e-08 0.543739124760812 5.17363899447534e-06
chr1.3978 2 28 2 56 -0.083333333333333 0.000151503825105647 0.396665083191084 0.0010260274582277
chr1.3979 2 28 2 56 -0.051237804473352 2.75588379102528e-06 0.580260848994501 9.07156621450058e-07
chr1.3980 2 28 2 56 -0.08974358974359 0.00263351708605066 0.397598697982696 0.000999185760932449
chr1.3981 2 28 2 56 -0.00657894736842091 1.47945707735196e-06 0.752288054109184 5.05747565038866e-12
chr1.7223 2 28 2 56 0.145454545454546 1.8779387766287e-09 0.827085597803333 6.48413080473758e-16
chr1.7224 2 28 2 56 0.066666666666667 2.9373216986092e-07 0.746012668454281 9.29388849227008e-12
